Unix,S_0_0,S_0_1,S_0_2,S_0_3,S_0_4,S_0_5,S_0_6,S_0_7,S_0_8,S_0_9,S_0_10,S_0_11,S_0_12,S_0_13,S_0_14,S_0_15,S_1_0,S_1_1,S_1_2,S_1_3,S_1_4,S_1_5,S_1_6,S_1_7,S_1_8,S_1_9,S_1_10,S_1_11,S_1_12,S_1_13,S_1_14,S_1_15,S_2_0,S_2_1,S_2_2,S_2_3,S_2_4,S_2_5,S_2_6,S_2_7,S_2_8,S_2_9,S_2_10,S_2_11,S_2_12,S_2_13,S_2_14,S_2_15,S_3_0,S_3_1,S_3_2,S_3_3,S_3_4,S_3_5,S_3_6,S_3_7,S_3_8,S_3_9,S_3_10,S_3_11,S_3_12,S_3_13,S_3_14,S_3_15,S_4_0,S_4_1,S_4_2,S_4_3,S_4_4,S_4_5,S_4_6,S_4_7,S_4_8,S_4_9,S_4_10,S_4_11,S_4_12,S_4_13,S_4_14,S_4_15,S_5_0,S_5_1,S_5_2,S_5_3,S_5_4,S_5_5,S_5_6,S_5_7,S_5_8,S_5_9,S_5_10,S_5_11,S_5_12,S_5_13,S_5_14,S_5_15,S_6_0,S_6_1,S_6_2,S_6_3,S_6_4,S_6_5,S_6_6,S_6_7,S_6_8,S_6_9,S_6_10,S_6_11,S_6_12,S_6_13,S_6_14,S_6_15,S_7_0,S_7_1,S_7_2,S_7_3,S_7_4,S_7_5,S_7_6,S_7_7,S_7_8,S_7_9,S_7_10,S_7_11,S_7_12,S_7_13,S_7_14,S_7_15,X,Y,Z,Pitch,Yaw,Roll
1778593237.915063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007687321055876,0.0117017142554236,0.0399103504044228,0.0003023127309133,1.1382320603484352e-05,-3.1740606585618145e-06
1778593237.942103,-0.09434950439353675,-0.15890442845227243,-0.15145578336857216,-0.13904137489573837,-0.1489729016740054,-0.16138731014683919,-0.08690085930983647,-0.10428103117180378,0.042208988807634865,-0.029794580334801077,0.022345935251100808,0.012414408472833783,0.11172967625550405,0.07696933253156946,0.1762846003142397,0.15145578336857216,-0.07945221422613621,-0.2110449440381743,-0.14649001997943864,-0.18621612709250673,-0.1762846003142397,-0.10428103117180378,-0.0968323860881035,-0.06207204236416891,-0.09186662269896999,-0.009931526778267027,-0.04965763389133513,-0.024828816945667565,0.07945221422613621,0.06952068744786918,0.07200356914243594,0.07200356914243594,-0.054623397280468645,-0.2631854596240762,-0.2110449440381743,-0.1539386650631389,-0.17876748200880646,-0.1539386650631389,-0.08441797761526973,-0.042208988807634865,0.054623397280468645,-0.022345935251100808,0.044691870502201615,-0.029794580334801077,-0.029794580334801077,0.03476034372393459,0.10924679456093729,0.059589160669602154,-0.08441797761526973,-0.21601070742730782,-0.21601070742730782,-0.1539386650631389,-0.24828816945667564,-0.07696933253156946,-0.12662696642290458,-0.0968323860881035,-0.032277462029367834,0.36250072740674644,-0.004965763389133513,-0.04965763389133513,0.007448645083700269,0.08690085930983647,0.14400713828487188,0.10676391286637053,-0.1539386650631389,-0.21601070742730782,-0.24083952437297537,-0.21352782573274107,-0.21849358912187458,-0.14400713828487188,-0.1142125579500708,-0.09931526778267026,-0.09931526778267026,0.193664772176207,-0.15145578336857216,-0.1886990087870735,0.019863053556534054,0.014897290167400538,0.09186662269896999,0.04965763389133513,-0.12166120303377106,-0.2706341047077765,-0.25325393284580916,-0.13407561150660485,-0.22594223420557485,-0.14152425659030513,-0.10924679456093729,-0.08193509592070297,-0.024828816945667565,0.0024828816945667567,-0.027311698640234323,0.004965763389133513,-0.007448645083700269,0.04965763389133513,0.12910984811747134,0.09434950439353675,-0.1713188369251062,-0.2582196962349427,-0.23339087928927513,-0.21849358912187458,-0.1663530735359727,-0.10924679456093729,-0.10179814947723702,-0.09434950439353675,-0.07200356914243594,0.0,-0.0024828816945667567,-0.024828816945667565,0.0744864508370027,0.042208988807634865,0.1762846003142397,0.11172967625550405,-0.17380171861967295,-0.2110449440381743,-0.3525692006284794,-0.21849358912187458,-0.19118189048164025,-0.2110449440381743,-0.12662696642290458,-0.12662696642290458,-0.12910984811747134,0.032277462029367834,0.10428103117180378,0.08690085930983647,0.12166120303377106,0.1663530735359727,0.31532597520997807,0.24828816945667564,-0.0384167646602594,0.0250355455793639,0.1208387956727014,0.181770036745564,0.1293608537880314,0.0382030269715835
1778593237.976713,-0.03476034372393459,-0.059589160669602154,-0.017380171861967296,-0.03476034372393459,0.004965763389133513,-0.1365584932011716,-0.07945221422613621,-0.13407561150660485,-0.019863053556534054,-0.06455492405873567,-0.03972610711306811,-0.12662696642290458,-0.027311698640234323,-0.07945221422613621,-0.0571062789750354,-0.012414408472833783,-0.03476034372393459,-0.11917832133920431,-0.054623397280468645,-0.07945221422613621,-0.042208988807634865,-0.12166120303377106,-0.12910984811747134,-0.10428103117180378,-0.14649001997943864,-0.019863053556534054,-0.04717475219676837,-0.1315927298120381,-0.09434950439353675,-0.06455492405873567,-0.11917832133920431,-0.13904137489573837,-0.06703780575330243,-0.16387019184140594,-0.08690085930983647,-0.044691870502201615,-0.06455492405873567,-0.12910984811747134,-0.13407561150660485,-0.042208988807634865,0.06455492405873567,-0.0968323860881035,-0.017380171861967296,-0.11917832133920431,-0.1142125579500708,-0.12662696642290458,-0.1365584932011716,-0.12662696642290458,-0.07200356914243594,-0.14649001997943864,-0.09931526778267026,-0.03476034372393459,-0.11917832133920431,-0.07696933253156946,-0.14400713828487188,-0.07200356914243594,-0.13407561150660485,0.34512055554477916,-0.007448645083700269,-0.20359629895447404,-0.1713188369251062,-0.06952068744786918,-0.1315927298120381,-0.1365584932011716,-0.11172967625550405,-0.1365584932011716,-0.09931526778267026,-0.12662696642290458,-0.10179814947723702,-0.15145578336857216,-0.17876748200880646,-0.12414408472833782,-0.18373324539793998,0.12166120303377106,-0.18125036370337322,-0.37243225418501347,-0.18373324539793998,-0.10179814947723702,-0.14152425659030513,-0.16387019184140594,-0.05214051558590189,-0.09434950439353675,-0.10179814947723702,-0.054623397280468645,-0.06455492405873567,-0.15642154675770567,-0.12910984811747134,-0.10428103117180378,-0.009931526778267027,-0.0968323860881035,-0.08441797761526973,-0.1713188369251062,-0.18621612709250673,-0.11172967625550405,-0.16138731014683919,-0.10924679456093729,-0.09931526778267026,-0.11917832133920431,-0.0968323860881035,-0.08690085930983647,-0.06455492405873567,-0.1142125579500708,-0.10676391286637053,-0.12662696642290458,-0.10179814947723702,-0.08938374100440323,-0.04717475219676837,-0.12910984811747134,-0.10179814947723702,-0.14152425659030513,-0.10924679456093729,-0.11917832133920431,-0.07696933253156946,0.0024828816945667567,-0.09434950439353675,-0.05214051558590189,-0.012414408472833783,-0.1886990087870735,-0.1315927298120381,-0.17380171861967295,-0.19863053556534052,-0.06455492405873567,-0.007448645083700269,-0.10179814947723702,-0.12910984811747134,-0.06207204236416891,-0.06455492405873567,-0.06207204236416891,-0.0270055476230172,0.0249490920704666,0.0937861173922404,0.1700305933946578,0.0839468607934384,0.0326707312559695
1778593237.998357,0.009931526778267027,-0.0744864508370027,-0.09931526778267026,-0.1142125579500708,-0.09434950439353675,-0.1315927298120381,-0.09931526778267026,-0.15642154675770567,-0.03972610711306811,-0.16138731014683919,-0.14152425659030513,-0.19614765387077376,-0.12414408472833782,-0.08193509592070297,0.03972610711306811,0.13407561150660485,-0.019863053556534054,-0.16387019184140594,-0.11172967625550405,-0.1663530735359727,-0.13904137489573837,-0.09434950439353675,-0.15890442845227243,-0.08938374100440323,-0.16138731014683919,-0.1489729016740054,-0.13407561150660485,-0.19118189048164025,-0.16387019184140594,-0.059589160669602154,-0.042208988807634865,-0.022345935251100808,-0.022345935251100808,-0.18373324539793998,-0.16138731014683919,-0.1365584932011716,-0.12662696642290458,-0.13904137489573837,-0.16883595523053946,-0.04965763389133513,0.022345935251100808,-0.18373324539793998,-0.059589160669602154,-0.16883595523053946,-0.16387019184140594,-0.12662696642290458,-0.04965763389133513,-0.024828816945667565,-0.017380171861967296,-0.16883595523053946,-0.1489729016740054,-0.11917832133920431,-0.19118189048164025,-0.059589160669602154,-0.17380171861967295,-0.06952068744786918,-0.15890442845227243,0.2904971582643105,-0.11669543964463756,-0.31036021182084456,-0.22594223420557485,-0.07696933253156946,-0.044691870502201615,0.032277462029367834,-0.03972610711306811,-0.17876748200880646,-0.17876748200880646,-0.21601070742730782,-0.18373324539793998,-0.12414408472833782,-0.16387019184140594,-0.12166120303377106,-0.18125036370337322,0.08690085930983647,-0.2731169864023432,-0.4568502318002832,-0.20111341725990728,-0.1489729016740054,-0.029794580334801077,-0.019863053556534054,-0.012414408472833783,-0.17876748200880646,-0.21601070742730782,-0.14400713828487188,-0.14152425659030513,-0.17380171861967295,-0.14152425659030513,-0.11172967625550405,-0.05214051558590189,-0.1762846003142397,-0.19118189048164025,-0.23835664267840861,-0.28304851318061025,-0.1315927298120381,-0.027311698640234323,0.027311698640234323,-0.06207204236416891,-0.1762846003142397,-0.21849358912187458,-0.1886990087870735,-0.12662696642290458,-0.09931526778267026,-0.10428103117180378,-0.12662696642290458,-0.12414408472833782,-0.193664772176207,-0.17380171861967295,-0.24083952437297537,-0.1713188369251062,-0.12662696642290458,-0.03724322541850135,0.009931526778267027,-0.004965763389133513,-0.10676391286637053,-0.23090799759470837,-0.16883595523053946,-0.12910984811747134,-0.18373324539793998,-0.1365584932011716,-0.22594223420557485,-0.2060791806490408,-0.25573681454037595,-0.23587376098384188,-0.2110449440381743,-0.23835664267840861,-0.0571062789750354,0.09931526778267026,0.12662696642290458,-0.0257683604010782,0.0270785216286945,0.0935702903441536,0.1685589762256441,0.0806470658515955,0.0319416232199589
1778593238.022072,-0.019863053556534054,-0.11172967625550405,-0.10179814947723702,-0.1365584932011716,-0.1489729016740054,-0.2284251159001416,-0.15642154675770567,-0.18125036370337322,-0.032277462029367834,-0.054623397280468645,-0.004965763389133513,-0.06703780575330243,0.08690085930983647,0.04965763389133513,0.05214051558590189,0.07200356914243594,-0.04717475219676837,-0.18621612709250673,-0.12166120303377106,-0.15145578336857216,-0.15890442845227243,-0.22097647081644134,-0.20111341725990728,-0.10676391286637053,-0.1315927298120381,-0.03476034372393459,-0.027311698640234323,-0.07200356914243594,-0.014897290167400538,0.004965763389133513,-0.024828816945667565,-0.0571062789750354,-0.06703780575330243,-0.19614765387077376,-0.1663530735359727,-0.14649001997943864,-0.15642154675770567,-0.22097647081644134,-0.21601070742730782,-0.10428103117180378,0.05214051558590189,-0.08441797761526973,0.004965763389133513,-0.06952068744786918,-0.0571062789750354,-0.03476034372393459,-0.017380171861967296,-0.10924679456093729,-0.05214051558590189,-0.17876748200880646,-0.15642154675770567,-0.11917832133920431,-0.2284251159001416,-0.16883595523053946,-0.24332240606754213,-0.09931526778267026,-0.12166120303377106,0.3947781894361143,-0.009931526778267027,-0.15890442845227243,-0.0968323860881035,0.042208988807634865,-0.007448645083700269,-0.0571062789750354,-0.11172967625550405,-0.1886990087870735,-0.18125036370337322,-0.23090799759470837,-0.2234593525110081,-0.2284251159001416,-0.24083952437297537,-0.1762846003142397,-0.1489729016740054,0.1713188369251062,-0.15145578336857216,-0.3078773301262778,-0.06455492405873567,-0.029794580334801077,-0.03972610711306811,-0.09434950439353675,-0.06952068744786918,-0.17380171861967295,-0.19863053556534052,-0.15890442845227243,-0.16883595523053946,-0.26070257792950946,-0.23587376098384188,-0.17380171861967295,-0.017380171861967296,-0.08193509592070297,0.029794580334801077,-0.0744864508370027,-0.12662696642290458,-0.012414408472833783,-0.009931526778267027,-0.029794580334801077,-0.10676391286637053,-0.19614765387077376,-0.18621612709250673,-0.193664772176207,-0.18621612709250673,-0.20359629895447404,-0.17380171861967295,-0.18125036370337322,-0.08690085930983647,-0.07200356914243594,-0.007448645083700269,-0.07200356914243594,0.0024828816945667567,-0.019863053556534054,0.03972610711306811,-0.022345935251100808,-0.11669543964463756,-0.10179814947723702,-0.2458052877621089,-0.193664772176207,-0.19863053556534052,-0.34512055554477916,-0.2582196962349427,-0.2458052877621089,-0.19118189048164025,-0.03724322541850135,0.054623397280468645,0.017380171861967296,0.004965763389133513,0.11669543964463756,0.1365584932011716,0.05214051558590189,-0.0257359360184371,0.0291569485486398,0.1174424912713764,0.168846294262778,0.080760529826269,0.0318279669751253
1778593238.046305,-0.12166120303377106,-0.20359629895447404,-0.18373324539793998,-0.1539386650631389,-0.09931526778267026,-0.08193509592070297,-0.017380171861967296,-0.0571062789750354,0.0571062789750354,-0.03476034372393459,-0.044691870502201615,-0.12662696642290458,-0.007448645083700269,-0.0744864508370027,0.044691870502201615,0.07696933253156946,-0.1142125579500708,-0.25573681454037595,-0.18125036370337322,-0.18125036370337322,-0.12166120303377106,-0.10428103117180378,-0.08938374100440323,-0.024828816945667565,-0.0571062789750354,-0.007448645083700269,-0.04717475219676837,-0.1365584932011716,-0.09434950439353675,-0.05214051558590189,-0.059589160669602154,-0.09186662269896999,-0.10179814947723702,-0.295462921653444,-0.2284251159001416,-0.15642154675770567,-0.12910984811747134,-0.0968323860881035,-0.0968323860881035,0.03724322541850135,0.14649001997943864,-0.014897290167400538,-0.029794580334801077,-0.11917832133920431,-0.11917832133920431,-0.11172967625550405,-0.07696933253156946,-0.09434950439353675,-0.1315927298120381,-0.2929800399588773,-0.26070257792950946,-0.1539386650631389,-0.16883595523053946,-0.03972610711306811,-0.07696933253156946,0.019863053556534054,-0.022345935251100808,0.4171241246872151,-0.014897290167400538,-0.21849358912187458,-0.18373324539793998,-0.05214051558590189,-0.08690085930983647,-0.054623397280468645,-0.1886990087870735,-0.2706341047077765,-0.25573681454037595,-0.23835664267840861,-0.18125036370337322,-0.0968323860881035,-0.08938374100440323,-0.042208988807634865,-0.0571062789750354,0.21849358912187458,-0.22097647081644134,-0.37491513587958025,-0.16883595523053946,-0.10179814947723702,-0.04717475219676837,-0.10924679456093729,-0.16138731014683919,-0.2582196962349427,-0.2979458033480108,-0.17876748200880646,-0.1489729016740054,-0.11917832133920431,-0.044691870502201615,-0.029794580334801077,0.0744864508370027,-0.022345935251100808,-0.024828816945667565,-0.15642154675770567,-0.19614765387077376,-0.11669543964463756,-0.0571062789750354,-0.017380171861967296,-0.17380171861967295,-0.3029115667371443,-0.27559986809690995,-0.21849358912187458,-0.15890442845227243,-0.044691870502201615,-0.007448645083700269,-0.032277462029367834,0.0,-0.06703780575330243,-0.12166120303377106,-0.14649001997943864,-0.08441797761526973,-0.11669543964463756,-0.022345935251100808,-0.03724322541850135,-0.1762846003142397,-0.24332240606754213,-0.36994937249044674,-0.20359629895447404,-0.14400713828487188,-0.10924679456093729,-0.012414408472833783,-0.014897290167400538,-0.054623397280468645,-0.014897290167400538,-0.032277462029367834,-0.11172967625550405,-0.13407561150660485,-0.054623397280468645,0.06703780575330243,0.06455492405873567,-0.0257996466046037,0.0304113401822538,0.1592939121576138,0.1696926078842345,0.081877142760842,0.0318082676084878
1778593238.071577,-0.042208988807634865,-0.06455492405873567,-0.03476034372393459,-0.032277462029367834,-0.03476034372393459,-0.11669543964463756,-0.09931526778267026,-0.1315927298120381,-0.022345935251100808,-0.06952068744786918,-0.044691870502201615,-0.1315927298120381,0.0024828816945667567,-0.07945221422613621,-0.06952068744786918,-0.027311698640234323,-0.029794580334801077,-0.12910984811747134,-0.027311698640234323,-0.06207204236416891,-0.059589160669602154,-0.12414408472833782,-0.15145578336857216,-0.07945221422613621,-0.1315927298120381,-0.054623397280468645,-0.06952068744786918,-0.1365584932011716,-0.08193509592070297,-0.044691870502201615,-0.12166120303377106,-0.12910984811747134,-0.059589160669602154,-0.1663530735359727,-0.08193509592070297,-0.05214051558590189,-0.07200356914243594,-0.14400713828487188,-0.1663530735359727,-0.06703780575330243,0.08441797761526973,-0.05214051558590189,0.059589160669602154,-0.11669543964463756,-0.10179814947723702,-0.12414408472833782,-0.12910984811747134,-0.16883595523053946,-0.0744864508370027,-0.12414408472833782,-0.07200356914243594,-0.022345935251100808,-0.12414408472833782,-0.06455492405873567,-0.16883595523053946,-0.08938374100440323,-0.11917832133920431,0.3947781894361143,-0.05214051558590189,-0.2234593525110081,-0.1762846003142397,-0.08938374100440323,-0.12662696642290458,-0.1365584932011716,-0.11669543964463756,-0.13904137489573837,-0.09931526778267026,-0.10924679456093729,-0.10924679456093729,-0.14152425659030513,-0.1713188369251062,-0.12662696642290458,-0.14152425659030513,0.21601070742730782,-0.19614765387077376,-0.387329544352414,-0.1539386650631389,-0.09931526778267026,-0.1489729016740054,-0.17380171861967295,-0.06455492405873567,-0.1315927298120381,-0.07945221422613621,-0.054623397280468645,-0.04717475219676837,-0.1663530735359727,-0.14649001997943864,-0.09931526778267026,0.012414408472833783,-0.042208988807634865,-0.03476034372393459,-0.15890442845227243,-0.19614765387077376,-0.11172967625550405,-0.15890442845227243,-0.11917832133920431,-0.08938374100440323,-0.13904137489573837,-0.10428103117180378,-0.0744864508370027,-0.09434950439353675,-0.08441797761526973,-0.10924679456093729,-0.10179814947723702,-0.10676391286637053,-0.04717475219676837,-0.10428103117180378,-0.14400713828487188,-0.09434950439353675,-0.12662696642290458,-0.1142125579500708,-0.12910984811747134,-0.08441797761526973,-0.044691870502201615,-0.08441797761526973,-0.014897290167400538,-0.027311698640234323,-0.19614765387077376,-0.12910984811747134,-0.1713188369251062,-0.1762846003142397,-0.007448645083700269,0.007448645083700269,-0.10179814947723702,-0.16387019184140594,-0.06455492405873567,-0.08441797761526973,-0.06952068744786918,-0.0258644478597381,0.0315311580579917,0.1610688695820601,0.1705302693839327,0.0870943728964533,0.0317934028640671
1778593238.09658,0.014897290167400538,-0.10676391286637053,-0.08938374100440323,-0.12662696642290458,-0.07945221422613621,-0.1315927298120381,-0.12910984811747134,-0.1315927298120381,-0.03972610711306811,-0.1663530735359727,-0.10428103117180378,-0.20359629895447404,-0.09186662269896999,-0.06952068744786918,0.044691870502201615,0.13904137489573837,0.0,-0.18373324539793998,-0.10676391286637053,-0.17380171861967295,-0.1142125579500708,-0.11917832133920431,-0.11669543964463756,-0.07945221422613621,-0.15145578336857216,-0.10676391286637053,-0.1365584932011716,-0.20111341725990728,-0.13407561150660485,-0.06207204236416891,-0.04965763389133513,-0.032277462029367834,-0.012414408472833783,-0.18373324539793998,-0.14649001997943864,-0.12166120303377106,-0.12662696642290458,-0.15890442845227243,-0.1663530735359727,-0.042208988807634865,0.019863053556534054,-0.19614765387077376,-0.08193509592070297,-0.16138731014683919,-0.1663530735359727,-0.12662696642290458,-0.024828816945667565,-0.03476034372393459,-0.009931526778267027,-0.1539386650631389,-0.14152425659030513,-0.1142125579500708,-0.20856206234360755,-0.059589160669602154,-0.17380171861967295,-0.08690085930983647,-0.14152425659030513,0.2929800399588773,-0.1539386650631389,-0.2904971582643105,-0.22594223420557485,-0.08441797761526973,-0.044691870502201615,0.019863053556534054,-0.04965763389133513,-0.1762846003142397,-0.20111341725990728,-0.2060791806490408,-0.1886990087870735,-0.15642154675770567,-0.17876748200880646,-0.1315927298120381,-0.18125036370337322,0.04965763389133513,-0.3649836091013132,-0.46181599518941674,-0.23587376098384188,-0.11172967625550405,-0.029794580334801077,-0.032277462029367834,-0.027311698640234323,-0.1663530735359727,-0.18373324539793998,-0.14400713828487188,-0.1365584932011716,-0.1539386650631389,-0.14649001997943864,-0.07696933253156946,-0.07696933253156946,-0.193664772176207,-0.20111341725990728,-0.26070257792950946,-0.2681512230132097,-0.1713188369251062,-0.04717475219676837,0.017380171861967296,-0.054623397280468645,-0.16387019184140594,-0.1762846003142397,-0.16387019184140594,-0.15642154675770567,-0.06703780575330243,-0.12910984811747134,-0.11917832133920431,-0.14152425659030513,-0.1886990087870735,-0.22097647081644134,-0.193664772176207,-0.14152425659030513,-0.12414408472833782,-0.027311698640234323,0.024828816945667565,-0.027311698640234323,-0.1142125579500708,-0.2284251159001416,-0.16138731014683919,-0.12662696642290458,-0.18125036370337322,-0.16883595523053946,-0.1713188369251062,-0.2458052877621089,-0.25573681454037595,-0.2582196962349427,-0.21352782573274107,-0.23339087928927513,-0.08938374100440323,0.0968323860881035,0.1489729016740054,-0.0258562491568718,0.0315973706088008,0.1514530845262405,0.1705223037992977,0.0885912847332225,0.0317637721194658
1778593238.122266,-0.029794580334801077,-0.10676391286637053,-0.10179814947723702,-0.1142125579500708,-0.15890442845227243,-0.2234593525110081,-0.18125036370337322,-0.18621612709250673,-0.024828816945667565,-0.07945221422613621,-0.0024828816945667567,-0.04717475219676837,0.07945221422613621,0.03972610711306811,0.0571062789750354,0.07945221422613621,-0.03476034372393459,-0.18373324539793998,-0.12910984811747134,-0.15642154675770567,-0.14152425659030513,-0.2060791806490408,-0.22097647081644134,-0.15145578336857216,-0.12414408472833782,-0.05214051558590189,-0.014897290167400538,-0.0744864508370027,-0.007448645083700269,0.007448645083700269,-0.03972610711306811,-0.06455492405873567,-0.0744864508370027,-0.19863053556534052,-0.16883595523053946,-0.11917832133920431,-0.16883595523053946,-0.23835664267840861,-0.2234593525110081,-0.08690085930983647,0.029794580334801077,-0.04717475219676837,0.08690085930983647,-0.06703780575330243,-0.044691870502201615,-0.017380171861967296,-0.03724322541850135,-0.0744864508370027,-0.07696933253156946,-0.18373324539793998,-0.15145578336857216,-0.1489729016740054,-0.2458052877621089,-0.193664772176207,-0.2110449440381743,-0.1365584932011716,-0.12414408472833782,0.36250072740674644,0.0,-0.14400713828487188,-0.0744864508370027,0.03476034372393459,0.0024828816945667567,-0.03972610711306811,-0.10924679456093729,-0.16883595523053946,-0.1762846003142397,-0.20111341725990728,-0.20856206234360755,-0.23587376098384188,-0.23835664267840861,-0.1713188369251062,-0.15642154675770567,0.09931526778267026,-0.14400713828487188,-0.2904971582643105,-0.06455492405873567,-0.022345935251100808,-0.032277462029367834,-0.09931526778267026,-0.08690085930983647,-0.13407561150660485,-0.2060791806490408,-0.12910984811747134,-0.19118189048164025,-0.25573681454037595,-0.21849358912187458,-0.15890442845227243,-0.03476034372393459,-0.12414408472833782,0.0024828816945667567,-0.06455492405873567,-0.10676391286637053,0.017380171861967296,-0.03724322541850135,-0.032277462029367834,-0.11172967625550405,-0.18621612709250673,-0.193664772176207,-0.16387019184140594,-0.2060791806490408,-0.20111341725990728,-0.19118189048164025,-0.18373324539793998,-0.10428103117180378,-0.0571062789750354,-0.06952068744786918,-0.08441797761526973,-0.0024828816945667567,-0.05214051558590189,0.042208988807634865,-0.03476034372393459,-0.10924679456093729,-0.09931526778267026,-0.2284251159001416,-0.18373324539793998,-0.18373324539793998,-0.30539444843171104,-0.24083952437297537,-0.25325393284580916,-0.19863053556534052,-0.0571062789750354,0.0744864508370027,0.012414408472833783,0.012414408472833783,0.10428103117180378,0.13407561150660485,0.06703780575330243,-0.0258826362628122,0.0317942359683153,0.1484863010380958,0.1744916413064319,0.0900158002083482,0.0316944254870069
1778593238.147752,-0.11669543964463756,-0.2060791806490408,-0.19614765387077376,-0.1713188369251062,-0.0968323860881035,-0.08938374100440323,-0.019863053556534054,-0.054623397280468645,0.09931526778267026,-0.06703780575330243,-0.04965763389133513,-0.10924679456093729,-0.029794580334801077,-0.0571062789750354,0.022345935251100808,0.06952068744786918,-0.10924679456093729,-0.2631854596240762,-0.20111341725990728,-0.1886990087870735,-0.1142125579500708,-0.0968323860881035,-0.059589160669602154,-0.014897290167400538,-0.059589160669602154,-0.05214051558590189,-0.032277462029367834,-0.12166120303377106,-0.08193509592070297,-0.044691870502201615,-0.054623397280468645,-0.08193509592070297,-0.13407561150660485,-0.27559986809690995,-0.24332240606754213,-0.15890442845227243,-0.12414408472833782,-0.10179814947723702,-0.054623397280468645,0.029794580334801077,0.12166120303377106,-0.12166120303377106,0.03476034372393459,-0.10179814947723702,-0.11917832133920431,-0.12662696642290458,-0.06703780575330243,-0.07200356914243594,-0.12414408472833782,-0.2731169864023432,-0.24828816945667564,-0.1713188369251062,-0.18621612709250673,-0.044691870502201615,-0.059589160669602154,0.0,-0.03972610711306811,0.3078773301262778,0.019863053556534054,-0.193664772176207,-0.15890442845227243,-0.03972610711306811,-0.0744864508370027,-0.05214051558590189,-0.18621612709250673,-0.25325393284580916,-0.25077105115124243,-0.2458052877621089,-0.16387019184140594,-0.0968323860881035,-0.08193509592070297,-0.059589160669602154,-0.10179814947723702,0.03972610711306811,-0.1762846003142397,-0.31284309351541134,-0.15145578336857216,-0.10676391286637053,-0.03972610711306811,-0.10676391286637053,-0.14152425659030513,-0.2706341047077765,-0.27808274979147674,-0.1886990087870735,-0.11669543964463756,-0.12662696642290458,-0.0571062789750354,-0.032277462029367834,0.019863053556534054,-0.11669543964463756,-0.07200356914243594,-0.10924679456093729,-0.20111341725990728,-0.07945221422613621,-0.04717475219676837,-0.007448645083700269,-0.18373324539793998,-0.2929800399588773,-0.265668341318643,-0.23587376098384188,-0.11917832133920431,-0.044691870502201615,-0.0024828816945667567,-0.022345935251100808,-0.022345935251100808,-0.0744864508370027,-0.08193509592070297,-0.1489729016740054,-0.10179814947723702,-0.12166120303377106,-0.03724322541850135,-0.0571062789750354,-0.19118189048164025,-0.2631854596240762,-0.36250072740674644,-0.25573681454037595,-0.12414408472833782,-0.10428103117180378,-0.007448645083700269,-0.03476034372393459,-0.03972610711306811,-0.054623397280468645,0.04717475219676837,-0.10676391286637053,-0.1489729016740054,-0.03724322541850135,0.0571062789750354,0.06703780575330243,-0.025961365172274,0.0319110316188194,0.1431984026587275,0.1772400710303183,0.0925142977431802,0.0316290979011266
