subject, run, label, notes
7, 1, slow/slow, reliable
7, 2, fast/slow, reliable
7, 3, fast/fast, reliable
7, 4, random, reliable
7, 5, cough, reliable
7, 6, sneeze, reliable
7, 7, random, reliable
7, 8, random, reliable
8, 1, slow/slow, reliable
8, 2, fast/slow, reliable
8, 3, fast/fast, reliable
8, 4, random, sensor_slipped
8, 5, random, reliable
9, 1, slow/slow, lift
9, 2, fast/slow, reliable
9, 3, fast/fast, reliable
9, 4, random, reliable
9, 5, head_reposition, lift
10, 1, slow/slow, lift
10, 2, fast/slow, lift
10, 3, fast/slow, reliable
10, 4, fast/fast, reliable
10, 5, random, reliable
10, 6, yawn, reliable
10, 7, cough, reliable
11, 1, slow/slow, lift
11, 2, fast/slow, reliable
11, 3, fast/slow, reliable
11, 4, slow/slow, reliable
11, 5, random, sensor_slipped
11, 6, random, reliable
12, 1, slow/slow, not_sync
12, 2, fast/slow, reliable
12, 3, fast/fast, lift
12, 4, fast/fast, reliable
12, 5, random, reliable
12, 6, shaking, reliable
13, 1, slow/slow, reliable
13, 2, fast/slow, reliable
13, 3, fast/fast, reliable
13, 4, random, reliable
13, 5, head_reposition, lift
13, 6, cough, reliable
14, 1, slow/slow, reliable
14, 2, fast/slow, reliable
14, 3, fast/fast, reliable
14, 4, random, reliable
14, 5, random, reliable
14, 6, head_reposition, lift
15, 1, no_data, no_data
15, 2, no_data, no_data
15, 3, fast/fast, lift
15, 4, cough, lift
15, 5, random, reliable
15, 6, fast/fast, lift
16, 1, slow/slow, reliable
16, 2, fast/slow, reliable
16, 3, fast/fast, bounce
16, 4, random, reliable
16, 5, sneeze, lift
17, 1, slow/slow, reliable
17, 2, fast/slow, reliable
17, 3, fast/fast, reliable
17, 4, random, reliable
18, 1, slow/slow, reliable
18, 2, fast/slow, lift
18, 3, fast/fast, reliable
18, 4, random, reliable
18, 5, fast/slow, lift
18, 6, fast/slow, reliable
19, 1, slow/slow, reliable
19, 2, fast/slow, reliable
19, 3, fast/fast, reliable
19, 4, random, reliable
19, 5, head_reposition, lift
20, 1, slow/slow, different_pillow
20, 2, fast/slow, different_pillow
20, 3, fast/fast, different_pillow
20, 4, random, different_pillow
20, 5, cough, different_pillow
21, 1, slow/slow, lift
21, 2, fast/slow, reliable
21, 3, fast/fast, reliable
21, 4, shaking, reliable
21, 5, random, angled_start
21, 6, random, angled_start
22, 1, slow/slow, reliable
22, 2, fast/slow, out_of_frame
22, 3, fast/fast, reliable
22, 4, random, reliable
22, 5, random, angled_start
22, 6, cough, reliable
22, 7, random, lift
23, 1, slow/slow, reliable
23, 2, fast/slow, reliable
23, 3, fast/fast, reliable
23, 4, random, out_of_frame
23, 5, random, angled_start
23, 6, random, angled_start
23, 7, random, reliable           
23, 8, random, reliable
24, 1, slow/slow, reliable
24, 2, fast/slow, reliable
24, 3, fast/fast, out_of_frame
24, 4, random, out_of_frame
24, 5, random, angled_start
25, 1, slow/slow, reliable
25, 2, fast/slow, reliable
25, 3, fast/slow, out_of_frame
25, 4, random, reliable
25, 5, random, angled_start 
25, 6, random, shoulders
26, 1, slow/slow, reliable
26, 2, fast/slow, reliable
26, 3, fast/fast, lift
26, 4, random, sensor_slipped
26, 5, random, shoulders
26, 6, random, lift              
27, 1, slow/slow, reliable
27, 2, fast/slow, lift
27, 3, fast/slow, reliable
27, 4, fast/fast, pixel_error
27, 5, random, pixel_error
27, 6, random, pixel_error
28, 1, slow/slow, reliable
28, 2, fast/slow, reliable
28, 3, fast/fast, out_of_frame
28, 4, random, reliable
28, 5, random, angled_start 
