TIME,Sensor_0,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9,Sensor_10,Sensor_11,Sensor_12,Sensor_13,Sensor_14,Sensor_15,Sensor_16,Sensor_17,Sensor_18,Sensor_19,Sensor_20,Sensor_21,Sensor_22,Sensor_23,Sensor_24,Sensor_25,Sensor_26,Sensor_27,Sensor_28,Sensor_29,Sensor_30,Sensor_31,Sensor_32,Sensor_33,Sensor_34,Sensor_35,Sensor_36,Sensor_37,Sensor_38,Sensor_39,Sensor_40,Sensor_41,Sensor_42,Sensor_43,Sensor_44,Sensor_45,Sensor_46,Sensor_47,Sensor_48,Sensor_49,Sensor_50,Sensor_51,Sensor_52,Sensor_53,Sensor_54,Sensor_55,Sensor_56,Sensor_57,Sensor_58,Sensor_59,Sensor_60,Sensor_61,Sensor_62,Sensor_63,Sensor_64,Sensor_65,Sensor_66,Sensor_67,Sensor_68,Sensor_69,Sensor_70,Sensor_71,Sensor_72,Sensor_73,Sensor_74,Sensor_75,Sensor_76,Sensor_77,Sensor_78,Sensor_79,Sensor_80,Sensor_81,Sensor_82,Sensor_83,Sensor_84,Sensor_85,Sensor_86,Sensor_87,Sensor_88,Sensor_89,Sensor_90,Sensor_91,Sensor_92,Sensor_93,Sensor_94,Sensor_95,Sensor_96,Sensor_97,Sensor_98,Sensor_99,Sensor_100,Sensor_101,Sensor_102,Sensor_103,Sensor_104,Sensor_105,Sensor_106,Sensor_107,Sensor_108,Sensor_109,Sensor_110,Sensor_111,Sensor_112,Sensor_113,Sensor_114,Sensor_115,Sensor_116,Sensor_117,Sensor_118,Sensor_119,Sensor_120,Sensor_121,Sensor_122,Sensor_123,Sensor_124,Sensor_125,Sensor_126,Sensor_127,X,Y,Z,PPG,RSP
0,53869,58127,16918,20392,15777,44636,2865,18729,275,2469,14285,39408,63259,11646,50572,5314,38332,25448,14416,23640,25502,17603,47720,33185,25562,24356,33431,55699,12672,47467,59363,41532,39101,222,61164,30705,11309,56987,20120,63192,18986,24098,44184,63958,20209,33793,15522,33969,53030,21617,29014,17246,60691,12728,30400,48788,55431,12353,58137,4837,40014,32997,58438,38014,9668,51423,1827,12370,2194,12913,42086,33959,22344,39452,53484,48644,40365,22364,12551,27437,8543,177,20921,62250,23017,51624,43092,14460,6107,31022,21414,7153,55515,49149,4397,12309,64100,48627,61861,54713,38661,39923,34485,7644,8361,62407,42580,46414,35665,6960,18873,3780,63092,35647,35992,27515,60169,19505,10177,63151,61153,27614,28920,7727,11249,45053,49734,40434,2,224,128,0.14237673299110082,0.05641394328426626
20,40341,4522,62484,29685,56432,903,863,39801,42714,50634,54254,8310,5715,30806,29104,19159,21276,10923,29708,15346,11179,39142,57412,57883,7660,38091,16039,38782,4914,43237,47852,859,47967,34777,12556,61056,11524,59842,61168,39647,30595,49913,65245,24611,64608,60976,10721,46771,49070,65299,41137,58358,41234,30748,16063,24709,37706,41894,36528,20669,43847,64388,64852,15943,25500,48766,59176,59755,12682,29102,8910,64963,52985,2573,59846,38693,14113,31014,32082,20727,39033,61134,3732,48059,38977,1036,15771,49042,52187,25865,3512,48155,19996,5467,17576,40423,29758,23907,3055,47679,38926,11369,38583,64843,50853,31736,3925,64834,15685,60878,1849,16220,5423,36889,19977,29398,52819,56998,22711,55595,58752,16714,24796,53003,12719,5429,47419,14836,4,249,110,0.5537292984650874,0.060907097128206966
40,51028,53931,14489,35430,20353,41814,65021,34254,62140,49577,28691,391,44531,49678,8657,9469,40206,64635,59601,11649,17230,49504,43301,55634,64357,58762,13327,49629,36877,11848,6153,40219,32863,51023,19267,246,15213,22916,55939,64154,56829,277,56719,37084,431,58806,50171,46453,30962,14346,19796,12518,32678,36971,23392,21250,10089,62336,13652,12266,51474,9851,4002,39755,24821,7876,62303,9354,32252,35510,1282,54299,8613,34599,58173,47955,48856,38207,9679,1244,47806,10894,18728,44595,26046,46522,15530,10685,30554,20814,30012,61068,55035,49464,22236,1754,48563,22856,18102,43662,20260,22229,1707,28670,49802,2515,32089,2461,53194,1082,55477,57109,28219,48024,30838,43783,20844,46890,48935,18477,3313,28931,55101,55673,49925,53986,50386,11425,69,139,213,1.6530829947717807,0.06642831651019508
60,36451,31029,47681,27950,39676,36100,45169,55077,9502,46383,18098,51788,33355,30331,18278,57238,22589,23487,10040,32114,1936,8690,51599,51125,58413,19435,50869,56818,52682,21034,15575,33590,15415,62509,25103,41200,561,63864,18175,22233,37704,28693,23908,64824,4394,44299,24427,46619,59674,5528,49012,4959,54703,36943,55903,16059,14812,10835,22419,59500,63720,54571,39734,12783,59511,38939,8002,38841,62172,14599,26974,40787,44310,12270,48006,13938,21008,41192,59222,54000,33359,4783,31001,53677,18699,53071,62415,62048,41032,14232,21804,46445,892,62884,61901,2985,46443,58282,47268,21322,21820,48538,23556,15822,19918,18832,34219,29276,35031,9670,21726,4874,45849,36985,11537,59524,25357,21575,43735,26603,19662,50532,1091,46656,29389,63501,12854,1783,201,159,73,3.2184732477627374,0.07301232744359042
80,22303,30671,50366,33365,2399,25411,41107,4413,62689,25572,65263,45555,33260,33320,41954,46695,42682,53289,37271,57172,3547,37987,60939,40532,22346,61723,6107,49892,52048,17612,30701,58033,45044,19524,27527,34304,15250,62363,7529,5073,30969,18782,16933,30112,47897,59096,1967,20207,48479,31600,11262,10446,61247,65271,45956,34764,44712,57449,12215,24145,10051,21947,58892,28485,33723,25335,21707,39921,16731,56708,37337,5185,930,15234,30933,63778,39999,53464,58591,22263,32398,56365,40453,7446,59287,60453,45685,29828,9756,40725,42908,56722,10714,12885,15491,56741,5686,18920,11372,57556,43645,26876,19026,15690,42762,45417,62888,62648,21248,16902,55620,19566,40837,54550,59562,42820,10114,865,16107,24416,15481,24669,52626,61821,56625,11621,33397,35516,118,110,106,4.924161357916804,0.08057668583138027
100,12481,53955,56863,5133,11907,21280,51397,51037,46203,60154,44389,18602,47079,39793,3341,12874,1124,10134,36305,371,14932,22721,53973,11373,15601,63728,35699,51218,48459,52356,15524,40310,52005,48891,64841,17509,20693,24896,42785,48474,542,46770,40139,31259,50546,50101,48137,27264,14815,34436,57964,56529,745,23063,12243,28531,47637,25304,34827,54797,8920,1907,55297,8722,58418,64793,63763,36487,61941,62110,57492,42565,2294,38549,11862,19066,805,14705,28538,41200,22860,38552,32772,53251,31817,2884,37667,39936,53187,43832,10323,29670,35244,61814,1091,28438,3989,24569,18537,7760,4173,20345,10260,22363,26392,19205,11757,57201,58267,34177,35070,13425,20845,22247,46357,53458,29926,18720,13213,11732,645,61898,6859,43138,8139,32383,10449,22204,20,190,133,6.3778028601097585,0.08901376269052125
120,29014,62483,12445,21445,36961,42668,40895,62226,63443,44951,11793,39215,5684,55184,22044,18340,17112,19619,56068,25042,29642,38056,12596,56495,27250,25187,34929,11544,50301,46095,30319,61256,29776,31141,50201,7343,52592,65282,37275,39651,38731,41791,45183,16181,51207,24579,7146,52581,55755,62661,49635,41024,5344,48970,13970,30752,54325,20554,42471,38183,32831,16632,30220,45436,54312,668,34842,11411,29715,43057,31911,50899,13268,5597,37868,9096,32142,3651,19232,25444,34622,49782,13629,20859,64484,35259,21131,31495,35036,7516,45416,25320,30519,6466,16581,6911,48965,14121,56935,15100,8065,29339,19029,14741,46396,23957,64914,3735,144,14906,65489,24845,41434,65072,36216,25742,28350,47465,28224,21369,63440,31447,33255,51394,29971,46264,23768,13343,14,149,182,6.961957805902014,0.09826311532541436
140,56796,47774,13504,60594,51404,22340,11226,17836,39812,40427,40947,42077,17302,47142,14086,2789,36285,50017,2316,38850,59331,24453,64291,11420,36890,33976,26253,35118,44939,7550,1194,56181,4757,6696,25280,27024,13934,23305,24354,42170,3984,2620,25455,20277,18226,27858,60380,9935,57524,34872,56226,34031,4950,62568,14670,61486,47783,3087,44794,25305,37487,52646,12185,40704,43613,16319,7192,55143,10354,63414,3250,51763,57560,17782,3412,33271,2759,32979,20823,45465,19030,23404,41536,37041,35921,41457,58223,63901,24355,20467,3110,38507,52018,14120,60030,11406,41006,47749,62641,60840,7463,26342,26328,45424,17314,21116,64489,25888,13879,24379,15724,47502,24503,17579,8123,14597,975,31797,19967,52688,36161,12292,62839,34792,20172,19333,5485,49213,50,73,248,6.053724943770349,0.10820084165052664
160,32026,46220,24978,36428,10908,38221,57892,37186,61628,32084,29708,46389,25484,37547,14005,6844,17887,7269,37386,6342,5287,55341,9822,1365,61031,27260,44849,2871,28893,42445,39282,43932,12864,37776,64614,44418,37066,11325,64084,57049,51758,14708,38007,26370,34594,36175,44664,62577,47648,60892,15020,25701,13811,48480,13678,6440,34004,8384,14732,27941,60598,41586,29126,19824,14500,48924,61708,11600,47019,54252,56607,58551,28946,15484,57560,29414,17793,60909,21002,29397,45494,54488,36980,28297,26914,44609,36086,58170,30067,64912,45501,3432,45983,24531,16176,48322,28079,339,46932,32531,42128,26603,24700,56935,45323,5253,980,9756,61943,61573,5490,58881,40261,31195,35795,33522,49770,51451,14322,44870,43916,64158,17938,58818,27102,52341,35382,65270,121,64,45,3.838414199062691,0.118674073274704
180,63004,45213,60665,20607,24784,10696,29178,36204,20466,2701,32703,11014,37410,56904,7092,60520,23205,50010,29883,37926,29007,41815,13469,25597,13687,16769,36146,11185,3002,40531,30101,38036,46711,1401,59802,3245,51968,64666,5255,3584,60079,61187,20086,19036,6560,49289,12144,32795,32447,20638,38638,46393,57642,35706,56681,38489,19986,50767,38154,28202,8284,64449,50824,11867,51479,43196,59660,9890,25130,52168,61739,16951,36533,41944,19041,8531,16179,21474,49879,43485,13570,12609,7577,24666,10619,26265,10218,14562,53543,31965,34061,43584,39528,6947,58365,40048,58691,27840,59607,61655,65472,29747,2262,62566,54660,48169,13529,19591,64610,43770,50896,3412,33164,52874,8533,10041,39752,52049,50215,52580,14263,22673,52850,23924,41288,36333,49950,7960,84,192,85,0.9574112412369655,0.12958355460083476
